observation_date,Unemployment
1990-01-01,7.5
1990-02-01,7.3
1990-03-01,7.0
1990-04-01,7.4
1990-05-01,7.0
1990-06-01,7.3
1990-07-01,7.4
1990-08-01,7.5
1990-09-01,7.4
1990-10-01,6.8
1990-11-01,6.9
1990-12-01,7.0
1991-01-01,7.8
1991-02-01,7.6
1991-03-01,7.9
1991-04-01,7.5
1991-05-01,7.7
1991-06-01,8.4
1991-07-01,8.1
1991-08-01,8.2
1991-09-01,8.2
1991-10-01,8.5
1991-11-01,9.1
1991-12-01,9.4
1992-01-01,9.8
1992-02-01,9.7
1992-03-01,9.3
1992-04-01,9.1
1992-05-01,9.4
1992-06-01,9.9
1992-07-01,9.2
1992-08-01,8.3
1992-09-01,8.0
1992-10-01,7.2
1992-11-01,7.7
1992-12-01,8.1
1993-01-01,8.8
1993-02-01,8.8
1993-03-01,8.7
1993-04-01,8.8
1993-05-01,9.1
1993-06-01,9.4
1993-07-01,8.9
1993-08-01,8.3
1993-09-01,8.6
1993-10-01,8.0
1993-11-01,7.3
1993-12-01,7.1
1994-01-01,8.3
1994-02-01,7.6
1994-03-01,7.3
1994-04-01,6.9
1994-05-01,6.5
1994-06-01,6.6
1994-07-01,6.5
1994-08-01,6.2
1994-09-01,5.9
1994-10-01,5.8
1994-11-01,5.3
1994-12-01,4.9
1995-01-01,5.9
1995-02-01,5.6
1995-03-01,5.6
1995-04-01,6.2
1995-05-01,5.9
1995-06-01,5.8
1995-07-01,6.0
1995-08-01,6.0
1995-09-01,5.8
1995-10-01,5.4
1995-11-01,5.3
1995-12-01,5.5
1996-01-01,6.4
1996-02-01,5.9
1996-03-01,5.9
1996-04-01,6.0
1996-05-01,6.2
1996-06-01,6.2
1996-07-01,6.3
1996-08-01,5.8
1996-09-01,5.6
1996-10-01,5.2
1996-11-01,5.3
1996-12-01,5.5
1997-01-01,6.0
1997-02-01,5.7
1997-03-01,5.7
1997-04-01,5.3
1997-05-01,5.0
1997-06-01,5.4
1997-07-01,5.3
1997-08-01,5.0
1997-09-01,5.2
1997-10-01,5.0
1997-11-01,5.1
1997-12-01,5.1
1998-01-01,5.7
1998-02-01,5.1
1998-03-01,5.1
1998-04-01,4.4
1998-05-01,4.5
1998-06-01,5.4
1998-07-01,4.9
1998-08-01,4.9
1998-09-01,5.2
1998-10-01,4.9
1998-11-01,4.9
1998-12-01,4.7
1999-01-01,5.0
1999-02-01,4.9
1999-03-01,4.5
1999-04-01,5.0
1999-05-01,5.2
1999-06-01,5.7
1999-07-01,5.6
1999-08-01,5.1
1999-09-01,4.9
1999-10-01,4.7
1999-11-01,4.7
1999-12-01,4.5
2000-01-01,4.8
2000-02-01,4.9
2000-03-01,5.0
2000-04-01,4.6
2000-05-01,4.7
2000-06-01,5.1
2000-07-01,5.2
2000-08-01,4.9
2000-09-01,4.7
2000-10-01,4.2
2000-11-01,4.8
2000-12-01,5.1
2001-01-01,5.8
2001-02-01,5.7
2001-03-01,6.1
2001-04-01,5.9
2001-05-01,5.6
2001-06-01,6.3
2001-07-01,6.1
2001-08-01,6.1
2001-09-01,5.9
2001-10-01,5.9
2001-11-01,6.5
2001-12-01,6.7
2002-01-01,7.5
2002-02-01,7.2
2002-03-01,7.5
2002-04-01,7.5
2002-05-01,7.3
2002-06-01,8.0
2002-07-01,8.1
2002-08-01,7.4
2002-09-01,7.1
2002-10-01,7.1
2002-11-01,7.3
2002-12-01,7.1
2003-01-01,7.6
2003-02-01,7.4
2003-03-01,7.4
2003-04-01,7.1
2003-05-01,7.2
2003-06-01,8.4
2003-07-01,7.9
2003-08-01,7.7
2003-09-01,7.5
2003-10-01,6.8
2003-11-01,6.9
2003-12-01,6.5
2004-01-01,7.2
2004-02-01,6.7
2004-03-01,6.9
2004-04-01,6.7
2004-05-01,6.8
2004-06-01,7.1
2004-07-01,7.1
2004-08-01,6.7
2004-09-01,6.4
2004-10-01,6.4
2004-11-01,6.5
2004-12-01,6.2
2005-01-01,6.7
2005-02-01,7.0
2005-03-01,6.6
2005-04-01,6.8
2005-05-01,6.7
2005-06-01,7.2
2005-07-01,6.8
2005-08-01,6.2
2005-09-01,6.2
2005-10-01,5.6
2005-11-01,5.6
2005-12-01,5.5
2006-01-01,5.6
2006-02-01,5.3
2006-03-01,5.1
2006-04-01,5.0
2006-05-01,4.7
2006-06-01,5.1
2006-07-01,5.1
2006-08-01,4.8
2006-09-01,4.4
2006-10-01,3.9
2006-11-01,4.1
2006-12-01,4.2
2007-01-01,5.1
2007-02-01,4.9
2007-03-01,4.5
2007-04-01,5.0
2007-05-01,5.1
2007-06-01,5.8
2007-07-01,5.7
2007-08-01,5.4
2007-09-01,5.2
2007-10-01,5.1
2007-11-01,5.1
2007-12-01,5.3
2008-01-01,5.9
2008-02-01,5.6
2008-03-01,5.5
2008-04-01,5.4
2008-05-01,6.4
2008-06-01,7.1
2008-07-01,7.1
2008-08-01,6.9
2008-09-01,6.5
2008-10-01,6.7
2008-11-01,6.8
2008-12-01,7.4
2009-01-01,8.5
2009-02-01,9.1
2009-03-01,9.5
2009-04-01,9.9
2009-05-01,10.6
2009-06-01,11.2
2009-07-01,11.0
2009-08-01,10.6
2009-09-01,10.9
2009-10-01,11.1
2009-11-01,11.0
2009-12-01,11.1
2010-01-01,12.1
2010-02-01,11.7
2010-03-01,11.5
2010-04-01,11.2
2010-05-01,11.1
2010-06-01,11.2
2010-07-01,11.1
2010-08-01,10.5
2010-09-01,10.1
2010-10-01,9.8
2010-11-01,10.0
2010-12-01,9.5
2011-01-01,10.1
2011-02-01,9.7
2011-03-01,9.6
2011-04-01,9.8
2011-05-01,10.6
2011-06-01,11.3
2011-07-01,11.4
2011-08-01,11.1
2011-09-01,10.7
2011-10-01,10.4
2011-11-01,10.0
2011-12-01,9.7
2012-01-01,9.8
2012-02-01,9.0
2012-03-01,9.2
2012-04-01,9.3
2012-05-01,9.0
2012-06-01,9.8
